Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2620","Grapes and products (excl wine)","2013","2013","kg/cap","8.84","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2625","Fruits, other","2013","2013","kg/cap","32.87","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2630","Coffee and products","2013","2013","kg/cap","7.53","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2633","Cocoa Beans and products","2013","2013","kg/cap","2.19","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2635","Tea (including mate)","2013","2013","kg/cap","0.45","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2640","Pepper","2013","2013","kg/cap","0.15","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2641","Pimento","2013","2013","kg/cap","0.17","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2642","Cloves","2013","2013","kg/cap","0.01","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2645","Spices, Other","2013","2013","kg/cap","0.75","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2655","Wine","2013","2013","kg/cap","11.45","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2656","Beer","2013","2013","kg/cap","57.59","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2657","Beverages, Fermented","2013","2013","kg/cap","15.66","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2658","Beverages, Alcoholic","2013","2013","kg/cap","0.06","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2013","2013","kg/cap","30.25","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","2013","2013","kg/cap","0.97","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2733","Pigmeat","2013","2013","kg/cap","22.81","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","2013","2013","kg/cap","36.68","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2735","Meat, Other","2013","2013","kg/cap","0.05","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2736","Offals, Edible","2013","2013","kg/cap","0.86","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2740","Butter, Ghee","2013","2013","kg/cap","2.7","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2743","Cream","2013","2013","kg/cap","9.77","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2737","Fats, Animals, Raw","2013","2013","kg/cap","5.46","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2781","Fish, Body Oil","2013","2013","kg/cap","0","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2782","Fish, Liver Oil","2013","2013","kg/cap","0","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2744","Eggs","2013","2013","kg/cap","12.95","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2848","Milk - Excluding Butter","2013","2013","kg/cap","187.77","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2761","Freshwater Fish","2013","2013","kg/cap","5.08","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2762","Demersal Fish","2013","2013","kg/cap","4.81","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2763","Pelagic Fish","2013","2013","kg/cap","4.52","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2764","Marine Fish, Other","2013","2013","kg/cap","0.15","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2765","Crustaceans","2013","2013","kg/cap","4.49","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2766","Cephalopods","2013","2013","kg/cap","0.06","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2767","Molluscs, Other","2013","2013","kg/cap","3.41","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2769","Aquatic Animals, Others","2013","2013","kg/cap","0.09","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2768","Meat, Aquatic Mammals","2013","2013","kg/cap","0","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2775","Aquatic Plants","2013","2013","kg/cap","0","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2680","Infant food","2013","2013","kg/cap","0.71","E","Estimated value"
